,_time,host,active,available,available_percent,buffered,cached,commit_limit,committed_as,dirty,free,high_free,high_total,huge_page_size,huge_pages_free,huge_pages_total,inactive,low_free,low_total,mapped,page_tables,shared,slab,sreclaimable,sunreclaim,swap_cached,swap_free,swap_total,total,used,used_percent,vmalloc_chunk,vmalloc_total,vmalloc_used,write_back,write_back_tmp,class_1,class_2
0,2023-04-12 17:45:00+00:00,pi4testbed,465190912,1405784064,72.49766057536115,97386496,946704384,1074388992,1780011008,0,493592576,0,0,0,0,0,793485312,0,0,227065856,6389760,36999168,94334976,64352256,29982720,0,104853504,104853504,1939075072,401391616,20.700158637282502,0,265885319168,11616256,0,0,normal,normal
1,2023-04-12 17:45:10+00:00,pi4testbed,465190912,1405784064,72.49766057536115,97386496,946700288,1074388992,1780154368,0,493592576,0,0,0,0,0,793485312,0,0,227057664,6389760,36995072,94334976,64352256,29982720,0,104853504,104853504,1939075072,401395712,20.70036987201288,0,265885319168,11616256,0,0,normal,normal
2,2023-04-12 17:45:20+00:00,pi4testbed,465190912,1405784064,72.49766057536115,97386496,946700288,1074388992,1780219904,0,493592576,0,0,0,0,0,793485312,0,0,227160064,6389760,36995072,94334976,64352256,29982720,0,104853504,104853504,1939075072,401395712,20.70036987201288,0,265885319168,11583488,0,0,normal,normal
3,2023-04-12 17:45:30+00:00,pi4testbed,465190912,1406042112,72.51096836337443,97386496,946704384,1074388992,1780011008,0,493850624,0,0,0,0,0,793485312,0,0,227065856,6389760,36999168,94334976,64352256,29982720,0,104853504,104853504,1939075072,401133568,20.686850849269234,0,265885319168,11599872,0,0,normal,normal
4,2023-04-12 17:45:40+00:00,pi4testbed,465190912,1406042112,72.51096836337443,97386496,946704384,1074388992,1780011008,0,493850624,0,0,0,0,0,793485312,0,0,227065856,6389760,36999168,94334976,64352256,29982720,0,104853504,104853504,1939075072,401133568,20.686850849269234,0,265885319168,11616256,0,0,normal,normal
5,2023-04-12 17:45:50+00:00,pi4testbed,465190912,1406042112,72.51096836337443,97386496,946704384,1074388992,1780011008,0,493850624,0,0,0,0,0,793489408,0,0,227065856,6389760,36999168,94334976,64352256,29982720,0,104853504,104853504,1939075072,401133568,20.686850849269234,0,265885319168,11616256,0,0,normal,normal
6,2023-04-12 17:46:00+00:00,pi4testbed,465190912,1406042112,72.51096836337443,97386496,946704384,1074388992,1780277248,0,493850624,0,0,0,0,0,793182208,0,0,227168256,6389760,36999168,94318592,64352256,29966336,0,104853504,104853504,1939075072,401133568,20.686850849269234,0,265885319168,11616256,0,0,normal,normal
7,2023-04-12 17:46:10+00:00,pi4testbed,465190912,1405784064,72.49766057536115,97386496,946700288,1074388992,1780006912,0,493592576,0,0,0,0,0,793096192,0,0,227061760,6389760,36995072,94318592,64352256,29966336,0,104853504,104853504,1939075072,401395712,20.70036987201288,0,265885319168,11616256,0,0,normal,normal
8,2023-04-12 17:46:20+00:00,pi4testbed,465190912,1405784064,72.49766057536115,97386496,946700288,1074388992,1780006912,0,493592576,0,0,0,0,0,793096192,0,0,227061760,6389760,36995072,94318592,64352256,29966336,0,104853504,104853504,1939075072,401395712,20.70036987201288,0,265885319168,11583488,0,0,normal,normal
9,2023-04-12 17:46:30+00:00,pi4testbed,465190912,1405784064,72.49766057536115,97386496,946704384,1074388992,1780170752,0,493592576,0,0,0,0,0,793096192,0,0,227069952,6389760,36999168,94318592,64352256,29966336,0,104853504,104853504,1939075072,401391616,20.700158637282502,0,265885319168,11583488,0,0,normal,normal
