,_time,host,active,available,available_percent,buffered,cached,commit_limit,committed_as,dirty,free,high_free,high_total,huge_page_size,huge_pages_free,huge_pages_total,inactive,low_free,low_total,mapped,page_tables,shared,slab,sreclaimable,sunreclaim,swap_cached,swap_free,swap_total,total,used,used_percent,vmalloc_chunk,vmalloc_total,vmalloc_used,write_back,write_back_tmp,class_1,class_2
16,2023-04-12 17:47:40+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764417536,0,784605184,0,0,0,0,0,508882944,0,0,217399296,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11599872,0,0,normal,normal
17,2023-04-12 17:47:50+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764683776,0,784605184,0,0,0,0,0,509374464,0,0,217501696,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11616256,0,0,normal,normal
18,2023-04-12 17:48:00+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764417536,0,784605184,0,0,0,0,0,509014016,0,0,217399296,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11616256,0,0,normal,normal
19,2023-04-12 17:48:10+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668540928,1074388992,1764651008,0,784605184,0,0,0,0,0,509014016,0,0,217493504,6402048,40509440,90726400,60801024,29925376,0,104853504,104853504,1939075072,388218880,20.020827744414422,0,265885319168,11616256,0,0,normal,normal
20,2023-04-12 17:48:20+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668540928,1074388992,1764573184,0,784605184,0,0,0,0,0,509014016,0,0,217391104,6402048,40509440,90726400,60801024,29925376,0,104853504,104853504,1939075072,388218880,20.020827744414422,0,265885319168,11616256,0,0,normal,normal
21,2023-04-12 17:48:30+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764585472,0,784605184,0,0,0,0,0,509014016,0,0,217399296,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11616256,0,0,normal,normal
22,2023-04-12 17:48:40+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764417536,0,784605184,0,0,0,0,0,509014016,0,0,217399296,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11616256,0,0,normal,normal
23,2023-04-12 17:48:50+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764417536,0,784605184,0,0,0,0,0,509014016,0,0,217399296,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11616256,0,0,normal,normal
24,2023-04-12 17:49:00+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764417536,0,784605184,0,0,0,0,0,509014016,0,0,217399296,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11599872,0,0,normal,normal
25,2023-04-12 17:49:10+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668540928,1074388992,1764413440,0,784605184,0,0,0,0,0,509014016,0,0,217391104,6402048,40509440,90726400,60801024,29925376,0,104853504,104853504,1939075072,388218880,20.020827744414422,0,265885319168,11583488,0,0,normal,normal
26,2023-04-12 17:49:20+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668540928,1074388992,1764413440,0,784605184,0,0,0,0,0,509014016,0,0,217391104,6402048,40509440,90726400,60801024,29925376,0,104853504,104853504,1939075072,388218880,20.020827744414422,0,265885319168,11567104,0,0,normal,normal
27,2023-04-12 17:49:30+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764683776,0,784605184,0,0,0,0,0,509014016,0,0,217501696,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11567104,0,0,normal,normal
28,2023-04-12 17:49:40+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764417536,0,784605184,0,0,0,0,0,509014016,0,0,217399296,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11567104,0,0,normal,normal
29,2023-04-12 17:49:50+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764417536,0,784605184,0,0,0,0,0,509014016,0,0,217399296,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11583488,0,0,normal,normal
30,2023-04-12 17:50:00+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764577280,0,784605184,0,0,0,0,0,509014016,0,0,217399296,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11583488,0,0,normal,normal
31,2023-04-12 17:50:10+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668540928,1074388992,1764413440,0,784605184,0,0,0,0,0,509014016,0,0,217391104,6402048,40509440,90726400,60801024,29925376,0,104853504,104853504,1939075072,388218880,20.020827744414422,0,265885319168,11567104,0,0,normal,normal
32,2023-04-12 17:50:20+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668540928,1074388992,1764413440,0,784605184,0,0,0,0,0,509014016,0,0,217391104,6402048,40509440,90726400,60801024,29925376,0,104853504,104853504,1939075072,388218880,20.020827744414422,0,265885319168,11567104,0,0,normal,normal
33,2023-04-12 17:50:30+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764593664,0,784605184,0,0,0,0,0,509014016,0,0,217501696,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11550720,0,0,normal,normal
34,2023-04-12 17:50:40+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764417536,0,784605184,0,0,0,0,0,509014016,0,0,217399296,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11550720,0,0,normal,normal
35,2023-04-12 17:50:50+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764417536,0,784605184,0,0,0,0,0,509014016,0,0,217399296,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11567104,0,0,normal,normal
36,2023-04-12 17:51:00+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764417536,0,784605184,0,0,0,0,0,509014016,0,0,217399296,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11550720,0,0,normal,normal
37,2023-04-12 17:51:10+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668540928,1074388992,1764413440,0,784605184,0,0,0,0,0,509014016,0,0,217391104,6402048,40509440,90726400,60801024,29925376,0,104853504,104853504,1939075072,388218880,20.020827744414422,0,265885319168,11534336,0,0,normal,normal
38,2023-04-12 17:51:20+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668540928,1074388992,1764589568,0,784605184,0,0,0,0,0,509014016,0,0,217493504,6402048,40509440,90726400,60801024,29925376,0,104853504,104853504,1939075072,388218880,20.020827744414422,0,265885319168,11550720,0,0,normal,normal
39,2023-04-12 17:51:30+00:00,pi3testbed,465596416,1422721024,73.37111618543875,97710080,668545024,1074388992,1764417536,0,784863232,0,0,0,0,0,509014016,0,0,217399296,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,387956736,20.007308721670785,0,265885319168,11567104,0,0,normal,normal
