,_time,Protocol,Count,Traffic,class_1,class_2
77,2023-04-12 17:51:48.396886+00:00,ARP,9,540,normal,normal
78,2023-04-12 17:51:53.623890+00:00,ARP,11,642,normal,normal
79,2023-04-12 17:51:58.778698+00:00,ARP,12,720,normal,normal
80,2023-04-12 17:52:03.899459+00:00,ARP,18,1080,normal,normal
81,2023-04-12 17:52:09.065564+00:00,ARP,7,420,normal,normal
82,2023-04-12 17:52:14.213759+00:00,ARP,7,420,normal,normal
83,2023-04-12 17:52:19.368572+00:00,ARP,17,1020,normal,normal
84,2023-04-12 17:52:24.499114+00:00,ARP,14,804,normal,normal
85,2023-04-12 17:52:29.678307+00:00,ARP,5,300,normal,normal
86,2023-04-12 17:52:34.789319+00:00,ARP,8,480,normal,normal
87,2023-04-12 17:52:39.968770+00:00,ARP,10,600,normal,normal
88,2023-04-12 17:52:45.038540+00:00,ARP,7,420,normal,normal
89,2023-04-12 17:52:50.262505+00:00,ARP,8,480,normal,normal
90,2023-04-12 17:52:55.391345+00:00,ARP,8,462,normal,normal
91,2023-04-12 17:53:00.503228+00:00,ARP,5,300,normal,normal
92,2023-04-12 17:53:05.720964+00:00,ARP,3,180,normal,normal
93,2023-04-12 17:53:10.818325+00:00,ARP,3,180,normal,normal
94,2023-04-12 17:53:16.029632+00:00,ARP,11,660,normal,normal
95,2023-04-12 17:53:21.248952+00:00,ARP,7,384,normal,normal
96,2023-04-12 17:53:26.433101+00:00,ARP,1,60,normal,normal
97,2023-04-12 17:53:31.542460+00:00,ARP,4,240,normal,normal
98,2023-04-12 17:53:36.650736+00:00,ARP,14,840,normal,normal
99,2023-04-12 17:53:41.858226+00:00,ARP,8,480,normal,normal
100,2023-04-12 17:53:46.974375+00:00,ARP,11,660,normal,normal
101,2023-04-12 17:53:52.091894+00:00,ARP,7,402,normal,normal
102,2023-04-12 17:53:57.253459+00:00,ARP,11,660,normal,normal
103,2023-04-12 17:54:02.396176+00:00,ARP,14,840,normal,normal
104,2023-04-12 17:54:08.067949+00:00,ARP,18,1080,normal,normal
105,2023-04-12 17:54:13.338258+00:00,ARP,5,300,normal,normal
106,2023-04-12 17:54:18.484574+00:00,ARP,4,240,normal,normal
107,2023-04-12 17:54:23.595448+00:00,ARP,14,804,normal,normal
108,2023-04-12 17:54:28.762585+00:00,ARP,6,360,normal,normal
109,2023-04-12 17:54:34.005103+00:00,ARP,6,360,normal,normal
110,2023-04-12 17:54:39.106138+00:00,ARP,12,720,normal,normal
111,2023-04-12 17:54:44.259279+00:00,ARP,10,600,normal,normal
112,2023-04-12 17:54:49.479937+00:00,ARP,2,120,normal,normal
113,2023-04-12 17:54:54.610156+00:00,ARP,14,822,normal,normal
114,2023-04-12 17:54:59.852175+00:00,ARP,10,600,normal,normal
115,2023-04-12 17:55:04.963589+00:00,ARP,5,300,normal,normal
116,2023-04-12 17:55:10.124880+00:00,ARP,7,420,normal,normal
117,2023-04-12 17:55:15.389913+00:00,ARP,6,360,normal,normal
118,2023-04-12 17:55:20.481947+00:00,ARP,6,360,normal,normal
119,2023-04-12 17:55:25.731166+00:00,ARP,5,264,normal,normal
120,2023-04-12 17:55:30.908778+00:00,ARP,4,240,normal,normal
121,2023-04-12 17:55:36.072846+00:00,ARP,13,780,normal,normal
122,2023-04-12 17:55:41.707655+00:00,ARP,6,360,normal,normal
123,2023-04-12 17:55:46.858344+00:00,ARP,11,660,normal,normal
124,2023-04-12 17:55:52.068363+00:00,ARP,9,522,normal,normal
125,2023-04-12 17:55:57.221353+00:00,ARP,11,660,normal,normal
126,2023-04-12 17:56:02.437546+00:00,ARP,10,600,normal,normal
127,2023-04-12 17:56:07.619653+00:00,ARP,21,1260,normal,normal
128,2023-04-12 17:56:12.878187+00:00,ARP,3,180,normal,normal
129,2023-04-12 17:56:17.955459+00:00,ARP,7,420,normal,normal
130,2023-04-12 17:56:23.138506+00:00,ARP,13,744,normal,normal
131,2023-04-12 17:56:28.331223+00:00,ARP,6,360,normal,normal
132,2023-04-12 17:56:33.583532+00:00,ARP,3,180,normal,normal
133,2023-04-12 17:56:38.674645+00:00,ARP,11,660,normal,normal
134,2023-04-12 17:56:43.866753+00:00,ARP,11,660,normal,normal
135,2023-04-12 17:56:49.050887+00:00,ARP,1,60,normal,normal
136,2023-04-12 17:56:54.219117+00:00,ARP,13,780,normal,normal
137,2023-04-12 17:56:59.439978+00:00,ARP,4,240,normal,normal
138,2023-04-12 17:57:04.563379+00:00,ARP,3,180,normal,normal
139,2023-04-12 17:57:09.757253+00:00,ARP,9,522,normal,normal
140,2023-04-12 17:57:15.119641+00:00,ARP,5,300,normal,normal
141,2023-04-12 17:57:20.652734+00:00,ARP,5,300,normal,normal
142,2023-04-12 17:57:25.889084+00:00,ARP,3,162,normal,normal
143,2023-04-12 17:57:31.126232+00:00,ARP,3,180,normal,normal
144,2023-04-12 17:57:36.271747+00:00,ARP,11,660,normal,normal
145,2023-04-12 17:57:41.441050+00:00,ARP,6,360,normal,normal
146,2023-04-12 17:57:46.688897+00:00,ARP,11,660,normal,normal
147,2023-04-12 17:57:51.862077+00:00,ARP,11,642,normal,normal
148,2023-04-12 17:57:56.996588+00:00,ARP,12,720,normal,normal
149,2023-04-12 17:58:02.195193+00:00,ARP,7,420,normal,normal
150,2023-04-12 17:58:07.282174+00:00,ARP,24,1440,normal,normal
151,2023-04-12 17:58:12.422529+00:00,ARP,4,240,normal,normal
152,2023-04-12 17:58:17.651889+00:00,ARP,6,360,normal,normal
153,2023-04-12 17:58:22.827886+00:00,ARP,11,642,normal,normal
154,2023-04-12 17:58:27.935171+00:00,ARP,8,480,normal,normal
155,2023-04-12 17:58:33.125114+00:00,ARP,4,240,normal,normal
156,2023-04-12 17:58:38.367276+00:00,ARP,9,540,normal,normal
157,2023-04-12 17:58:43.439181+00:00,ARP,10,600,normal,normal
158,2023-04-12 17:58:48.644526+00:00,ARP,5,300,normal,normal
159,2023-04-12 17:58:53.908778+00:00,ARP,13,762,normal,normal
160,2023-04-12 17:58:59.067443+00:00,ARP,6,360,normal,normal
161,2023-04-12 17:59:04.228010+00:00,ARP,14,840,normal,normal
162,2023-04-12 17:59:09.414770+00:00,ARP,7,402,normal,normal
163,2023-04-12 17:59:14.468272+00:00,ARP,6,360,normal,normal
164,2023-04-12 17:59:19.776163+00:00,ARP,5,300,normal,normal
165,2023-04-12 17:59:24.853612+00:00,ARP,3,180,normal,normal
166,2023-04-12 17:59:30.202482+00:00,ARP,2,120,normal,normal
167,2023-04-12 17:59:35.364495+00:00,ARP,9,540,normal,normal
168,2023-04-12 17:59:40.531387+00:00,ARP,12,720,normal,normal
169,2023-04-12 17:59:45.849618+00:00,ARP,11,660,normal,normal
170,2023-04-12 17:59:50.978904+00:00,ARP,8,480,normal,normal
171,2023-04-12 17:59:56.122308+00:00,ARP,14,822,normal,normal
172,2023-04-12 18:00:01.437202+00:00,ARP,5,300,normal,normal
173,2023-04-12 18:00:06.646074+00:00,ARP,24,1422,normal,normal
174,2023-04-12 18:00:11.811272+00:00,ARP,10,600,normal,normal
175,2023-04-12 18:00:17.108205+00:00,ARP,8,480,normal,normal
176,2023-04-12 18:00:22.366769+00:00,ARP,8,480,normal,normal
