,_time,host,interface,bytes_recv,bytes_sent,drop_in,drop_out,err_in,err_out,packets_recv,packets_sent,class_1,class_2
0,2023-04-12 17:45:00+00:00,pi4testbed,wlan0,15028317731,1820670787,0,0,0,0,156495307,5288590,normal,normal
1,2023-04-12 17:45:10+00:00,pi4testbed,wlan0,15028345759,1820674181,0,0,0,0,156495598,5288601,normal,normal
2,2023-04-12 17:45:20+00:00,pi4testbed,wlan0,15028371864,1820677423,0,0,0,0,156495861,5288610,normal,normal
3,2023-04-12 17:45:30+00:00,pi4testbed,wlan0,15028393763,1820680485,0,0,0,0,156496123,5288617,normal,normal
4,2023-04-12 17:45:40+00:00,pi4testbed,wlan0,15028424529,1820683543,0,0,0,0,156496443,5288624,normal,normal
5,2023-04-12 17:45:50+00:00,pi4testbed,wlan0,15028457819,1820687222,0,0,0,0,156496773,5288638,normal,normal
6,2023-04-12 17:46:00+00:00,pi4testbed,wlan0,15028481672,1820690624,0,0,0,0,156497047,5288649,normal,normal
7,2023-04-12 17:46:10+00:00,pi4testbed,wlan0,15028511613,1820693668,0,0,0,0,156497331,5288656,normal,normal
8,2023-04-12 17:46:20+00:00,pi4testbed,wlan0,15028540778,1820697164,0,0,0,0,156497606,5288668,normal,normal
9,2023-04-12 17:46:30+00:00,pi4testbed,wlan0,15028559249,1820700863,0,0,0,0,156497838,5288682,normal,normal
10,2023-04-12 17:46:40+00:00,pi4testbed,wlan0,15028586694,1820704267,0,0,0,0,156498111,5288693,normal,normal
11,2023-04-12 17:46:50+00:00,pi4testbed,wlan0,15028615868,1820707399,0,0,0,0,156498404,5288701,normal,normal
12,2023-04-12 17:47:00+00:00,pi4testbed,wlan0,15028638670,1820710562,0,0,0,0,156498684,5288709,normal,normal
13,2023-04-12 17:47:10+00:00,pi4testbed,wlan0,15028676511,1820714226,0,0,0,0,156499020,5288723,normal,normal
14,2023-04-12 17:47:20+00:00,pi4testbed,wlan0,15028699004,1820717733,0,0,0,0,156499262,5288735,normal,normal
15,2023-04-12 17:47:30+00:00,pi4testbed,wlan0,15028717103,1820721227,0,0,0,0,156499493,5288747,normal,normal
16,2023-04-12 17:47:40+00:00,pi4testbed,wlan0,15028745615,1820724609,0,0,0,0,156499776,5288758,normal,normal
17,2023-04-12 17:47:50+00:00,pi4testbed,wlan0,15028769498,1820727671,0,0,0,0,156500052,5288765,normal,normal
18,2023-04-12 17:48:00+00:00,pi4testbed,wlan0,15028794278,1820730693,0,0,0,0,156500337,5288772,normal,normal
19,2023-04-12 17:48:10+00:00,pi4testbed,wlan0,15028826701,1820733685,0,0,0,0,156500643,5288779,normal,normal
20,2023-04-12 17:48:20+00:00,pi4testbed,wlan0,15028849551,1820737163,0,0,0,0,156500897,5288791,normal,normal
21,2023-04-12 17:48:30+00:00,pi4testbed,wlan0,15028867070,1820740345,0,0,0,0,156501127,5288800,normal,normal
22,2023-04-12 17:48:40+00:00,pi4testbed,wlan0,15028894598,1820743839,0,0,0,0,156501404,5288812,normal,normal
23,2023-04-12 17:48:50+00:00,pi4testbed,wlan0,15028919581,1820747519,0,0,0,0,156501675,5288826,normal,normal
24,2023-04-12 17:49:00+00:00,pi4testbed,wlan0,15028942319,1820750923,0,0,0,0,156501969,5288837,normal,normal
25,2023-04-12 17:49:10+00:00,pi4testbed,wlan0,15028980371,1820754599,0,0,0,0,156502360,5288851,normal,normal
26,2023-04-12 17:49:20+00:00,pi4testbed,wlan0,15029006093,1820758368,0,0,0,0,156502641,5288859,normal,normal
27,2023-04-12 17:49:30+00:00,pi4testbed,wlan0,15029023122,1820761873,0,0,0,0,156502871,5288871,normal,normal
28,2023-04-12 17:49:40+00:00,pi4testbed,wlan0,15029052265,1820765118,0,0,0,0,156503165,5288880,normal,normal
29,2023-04-12 17:49:50+00:00,pi4testbed,wlan0,15029076288,1820768289,0,0,0,0,156503444,5288888,normal,normal
30,2023-04-12 17:50:00+00:00,pi4testbed,wlan0,15029095924,1820771423,0,0,0,0,156503707,5288896,normal,normal
31,2023-04-12 17:50:10+00:00,pi4testbed,wlan0,15029124670,1820774452,0,0,0,0,156503992,5288903,normal,normal
32,2023-04-12 17:50:20+00:00,pi4testbed,wlan0,15029148670,1820777787,0,0,0,0,156504258,5288913,normal,normal
33,2023-04-12 17:50:30+00:00,pi4testbed,wlan0,15029166814,1820781456,0,0,0,0,156504496,5288927,normal,normal
34,2023-04-12 17:50:40+00:00,pi4testbed,wlan0,15029193606,1820785104,0,0,0,0,156504771,5288941,normal,normal
35,2023-04-12 17:50:50+00:00,pi4testbed,wlan0,15029217723,1820788762,0,0,0,0,156505045,5288955,normal,normal
36,2023-04-12 17:51:00+00:00,pi4testbed,wlan0,15029237003,1820791907,0,0,0,0,156505301,5288963,normal,normal
37,2023-04-12 17:51:10+00:00,pi4testbed,wlan0,15029264786,1820795216,0,0,0,0,156505583,5288973,normal,normal
38,2023-04-12 17:51:20+00:00,pi4testbed,wlan0,15029286256,1820798718,0,0,0,0,156505835,5288985,normal,normal
39,2023-04-12 17:51:30+00:00,pi4testbed,wlan0,15029307415,1820801768,0,0,0,0,156506093,5288992,normal,normal
40,2023-04-12 17:51:40+00:00,pi4testbed,wlan0,15029335188,1820805454,0,0,0,0,156506378,5289006,normal,normal
41,2023-04-12 17:51:50+00:00,pi4testbed,wlan0,15029358453,1820809118,0,0,0,0,156506650,5289020,normal,normal
42,2023-04-12 17:52:00+00:00,pi4testbed,wlan0,15029379336,1820812534,0,0,0,0,156506909,5289031,normal,normal
43,2023-04-12 17:52:10+00:00,pi4testbed,wlan0,15029411391,1820815581,0,0,0,0,156507197,5289038,normal,normal
44,2023-04-12 17:52:20+00:00,pi4testbed,wlan0,15029452103,1820819078,0,0,0,0,156507469,5289050,normal,normal
45,2023-04-12 17:52:30+00:00,pi4testbed,wlan0,15029477138,1820822314,0,0,0,0,156507719,5289059,normal,normal
46,2023-04-12 17:52:40+00:00,pi4testbed,wlan0,15029511297,1820825977,0,0,0,0,156508023,5289073,normal,normal
47,2023-04-12 17:52:50+00:00,pi4testbed,wlan0,15029539306,1820829579,0,0,0,0,156508315,5289086,normal,normal
48,2023-04-12 17:53:00+00:00,pi4testbed,wlan0,15029566094,1820832937,0,0,0,0,156508588,5289096,normal,normal
49,2023-04-12 17:53:10+00:00,pi4testbed,wlan0,15029593661,1820836689,0,0,0,0,156508871,5289111,normal,normal
50,2023-04-12 17:53:20+00:00,pi4testbed,wlan0,15029617044,1820839900,0,0,0,0,156509123,5289120,normal,normal
51,2023-04-12 17:53:30+00:00,pi4testbed,wlan0,15029643208,1820843317,0,0,0,0,156509371,5289131,normal,normal
52,2023-04-12 17:53:40+00:00,pi4testbed,wlan0,15029671329,1820846354,0,0,0,0,156509651,5289138,normal,normal
53,2023-04-12 17:53:50+00:00,pi4testbed,wlan0,15029696686,1820849477,0,0,0,0,156509933,5289146,normal,normal
54,2023-04-12 17:54:00+00:00,pi4testbed,wlan0,15029722803,1820852606,0,0,0,0,156510211,5289154,normal,normal
55,2023-04-12 17:54:10+00:00,pi4testbed,wlan0,15029751561,1820855920,0,0,0,0,156510502,5289164,normal,normal
56,2023-04-12 17:54:20+00:00,pi4testbed,wlan0,15029782245,1820858982,0,0,0,0,156510783,5289171,normal,normal
57,2023-04-12 17:54:30+00:00,pi4testbed,wlan0,15029807664,1820862025,0,0,0,0,156511032,5289178,normal,normal
58,2023-04-12 17:54:40+00:00,pi4testbed,wlan0,15029832921,1820865718,0,0,0,0,156511301,5289192,normal,normal
59,2023-04-12 17:54:50+00:00,pi4testbed,wlan0,15029866431,1820868752,0,0,0,0,156511604,5289199,normal,normal
60,2023-04-12 17:55:00+00:00,pi4testbed,wlan0,15029901527,1820871973,0,0,0,0,156511947,5289208,normal,normal
61,2023-04-12 17:55:10+00:00,pi4testbed,wlan0,15029937941,1820875009,0,0,0,0,156512327,5289215,normal,normal
62,2023-04-12 17:55:20+00:00,pi4testbed,wlan0,15029966045,1820878502,0,0,0,0,156512621,5289227,normal,normal
63,2023-04-12 17:55:30+00:00,pi4testbed,wlan0,15029994150,1820881549,0,0,0,0,156512913,5289234,normal,normal
64,2023-04-12 17:55:40+00:00,pi4testbed,wlan0,15030021057,1820884894,0,0,0,0,156513213,5289244,normal,normal
65,2023-04-12 17:55:50+00:00,pi4testbed,wlan0,15030048142,1820887998,0,0,0,0,156513500,5289252,normal,normal
66,2023-04-12 17:56:00+00:00,pi4testbed,wlan0,15030075092,1820891029,0,0,0,0,156513785,5289259,normal,normal
67,2023-04-12 17:56:10+00:00,pi4testbed,wlan0,15030110019,1820894715,0,0,0,0,156514089,5289273,normal,normal
68,2023-04-12 17:56:20+00:00,pi4testbed,wlan0,15030146046,1820897769,0,0,0,0,156514375,5289280,normal,normal
69,2023-04-12 17:56:30+00:00,pi4testbed,wlan0,15030168736,1820901065,0,0,0,0,156514630,5289290,normal,normal
70,2023-04-12 17:56:40+00:00,pi4testbed,wlan0,15030192530,1820904557,0,0,0,0,156514906,5289302,normal,normal
71,2023-04-12 17:56:50+00:00,pi4testbed,wlan0,15030221636,1820907702,0,0,0,0,156515196,5289310,normal,normal
72,2023-04-12 17:57:00+00:00,pi4testbed,wlan0,15030244598,1820911215,0,0,0,0,156515468,5289322,normal,normal
73,2023-04-12 17:57:10+00:00,pi4testbed,wlan0,15030271134,1820914904,0,0,0,0,156515768,5289336,normal,normal
74,2023-04-12 17:57:20+00:00,pi4testbed,wlan0,15030313631,1820918148,0,0,0,0,156516062,5289345,normal,normal
75,2023-04-12 17:57:30+00:00,pi4testbed,wlan0,15030339985,1820921444,0,0,0,0,156516334,5289355,normal,normal
76,2023-04-12 17:57:40+00:00,pi4testbed,wlan0,15030368237,1820924465,0,0,0,0,156516639,5289362,normal,normal
