,_time,host,interface,bytes_recv,bytes_sent,drop_in,drop_out,err_in,err_out,packets_recv,packets_sent,class_1,class_2
0,2023-04-12 17:45:00+00:00,pi1testbed,wlan0,14944394457,1871567812,0,0,0,0,155013513,5914325,normal,normal
1,2023-04-12 17:45:10+00:00,pi1testbed,wlan0,14944422485,1871571250,0,0,0,0,155013804,5914336,normal,normal
2,2023-04-12 17:45:20+00:00,pi1testbed,wlan0,14944449310,1871574838,0,0,0,0,155014078,5914349,normal,normal
3,2023-04-12 17:45:30+00:00,pi1testbed,wlan0,14944471043,1871578259,0,0,0,0,155014338,5914360,normal,normal
4,2023-04-12 17:45:40+00:00,pi1testbed,wlan0,14944501757,1871581242,0,0,0,0,155014657,5914366,normal,normal
5,2023-04-12 17:45:50+00:00,pi1testbed,wlan0,14944534943,1871584737,0,0,0,0,155014985,5914378,normal,normal
6,2023-04-12 17:46:00+00:00,pi1testbed,wlan0,14944558692,1871587800,0,0,0,0,155015257,5914385,normal,normal
7,2023-04-12 17:46:10+00:00,pi1testbed,wlan0,14944588633,1871590947,0,0,0,0,155015541,5914393,normal,normal
8,2023-04-12 17:46:20+00:00,pi1testbed,wlan0,14944618623,1871594668,0,0,0,0,155015833,5914407,normal,normal
9,2023-04-12 17:46:30+00:00,pi1testbed,wlan0,14944636912,1871598211,0,0,0,0,155016058,5914419,normal,normal
10,2023-04-12 17:46:40+00:00,pi1testbed,wlan0,14944664109,1871601232,0,0,0,0,155016326,5914426,normal,normal
11,2023-04-12 17:46:50+00:00,pi1testbed,wlan0,14944693577,1871604929,0,0,0,0,155016625,5914440,normal,normal
12,2023-04-12 17:47:00+00:00,pi1testbed,wlan0,14944716275,1871608433,0,0,0,0,155016903,5914452,normal,normal
13,2023-04-12 17:47:10+00:00,pi1testbed,wlan0,14944753856,1871611911,0,0,0,0,155017234,5914464,normal,normal
14,2023-04-12 17:47:20+00:00,pi1testbed,wlan0,14944777514,1871615232,0,0,0,0,155017500,5914474,normal,normal
15,2023-04-12 17:47:30+00:00,pi1testbed,wlan0,14944796823,1871618310,0,0,0,0,155017730,5914481,normal,normal
16,2023-04-12 17:47:40+00:00,pi1testbed,wlan0,14944825433,1871621829,0,0,0,0,155018015,5914493,normal,normal
17,2023-04-12 17:47:50+00:00,pi1testbed,wlan0,14944849426,1871625416,0,0,0,0,155018293,5914506,normal,normal
18,2023-04-12 17:48:00+00:00,pi1testbed,wlan0,14944874154,1871628556,0,0,0,0,155018577,5914514,normal,normal
19,2023-04-12 17:48:10+00:00,pi1testbed,wlan0,14944906531,1871631624,0,0,0,0,155018882,5914521,normal,normal
20,2023-04-12 17:48:20+00:00,pi1testbed,wlan0,14944930171,1871634806,0,0,0,0,155019147,5914529,normal,normal
21,2023-04-12 17:48:30+00:00,pi1testbed,wlan0,14944947481,1871637878,0,0,0,0,155019375,5914536,normal,normal
22,2023-04-12 17:48:40+00:00,pi1testbed,wlan0,14944975015,1871641575,0,0,0,0,155019652,5914550,normal,normal
23,2023-04-12 17:48:50+00:00,pi1testbed,wlan0,14944999894,1871644828,0,0,0,0,155019921,5914559,normal,normal
24,2023-04-12 17:49:00+00:00,pi1testbed,wlan0,14945022580,1871647988,0,0,0,0,155020214,5914567,normal,normal
25,2023-04-12 17:49:10+00:00,pi1testbed,wlan0,14945060476,1871651064,0,0,0,0,155020602,5914574,normal,normal
26,2023-04-12 17:49:20+00:00,pi1testbed,wlan0,14945087377,1871654580,0,0,0,0,155020901,5914586,normal,normal
27,2023-04-12 17:49:30+00:00,pi1testbed,wlan0,14945104931,1871658045,0,0,0,0,155021132,5914598,normal,normal
28,2023-04-12 17:49:40+00:00,pi1testbed,wlan0,14945134022,1871661112,0,0,0,0,155021425,5914605,normal,normal
29,2023-04-12 17:49:50+00:00,pi1testbed,wlan0,14945157907,1871664270,0,0,0,0,155021701,5914613,normal,normal
30,2023-04-12 17:50:00+00:00,pi1testbed,wlan0,14945177589,1871667416,0,0,0,0,155021965,5914621,normal,normal
31,2023-04-12 17:50:10+00:00,pi1testbed,wlan0,14945206387,1871670576,0,0,0,0,155022251,5914630,normal,normal
32,2023-04-12 17:50:20+00:00,pi1testbed,wlan0,14945231123,1871673822,0,0,0,0,155022531,5914639,normal,normal
33,2023-04-12 17:50:30+00:00,pi1testbed,wlan0,14945249420,1871677351,0,0,0,0,155022771,5914651,normal,normal
34,2023-04-12 17:50:40+00:00,pi1testbed,wlan0,14945275958,1871680435,0,0,0,0,155023041,5914658,normal,normal
35,2023-04-12 17:50:50+00:00,pi1testbed,wlan0,14945299854,1871683490,0,0,0,0,155023311,5914665,normal,normal
36,2023-04-12 17:51:00+00:00,pi1testbed,wlan0,14945319284,1871687220,0,0,0,0,155023570,5914679,normal,normal
37,2023-04-12 17:51:10+00:00,pi1testbed,wlan0,14945347073,1871690749,0,0,0,0,155023852,5914691,normal,normal
38,2023-04-12 17:51:20+00:00,pi1testbed,wlan0,14945370784,1871694273,0,0,0,0,155024126,5914703,normal,normal
39,2023-04-12 17:51:30+00:00,pi1testbed,wlan0,14945390967,1871697429,0,0,0,0,155024373,5914711,normal,normal
40,2023-04-12 17:51:40+00:00,pi1testbed,wlan0,14945418630,1871700593,0,0,0,0,155024656,5914719,normal,normal
41,2023-04-12 17:51:50+00:00,pi1testbed,wlan0,14945441739,1871703715,0,0,0,0,155024925,5914727,normal,normal
42,2023-04-12 17:52:00+00:00,pi1testbed,wlan0,14945462662,1871706844,0,0,0,0,155025185,5914735,normal,normal
43,2023-04-12 17:52:10+00:00,pi1testbed,wlan0,14945494717,1871709944,0,0,0,0,155025473,5914743,normal,normal
44,2023-04-12 17:52:20+00:00,pi1testbed,wlan0,14945537120,1871713448,0,0,0,0,155025761,5914755,normal,normal
45,2023-04-12 17:52:30+00:00,pi1testbed,wlan0,14945561753,1871716759,0,0,0,0,155026009,5914765,normal,normal
46,2023-04-12 17:52:40+00:00,pi1testbed,wlan0,14945595866,1871720141,0,0,0,0,155026312,5914775,normal,normal
47,2023-04-12 17:52:50+00:00,pi1testbed,wlan0,14945623719,1871723274,0,0,0,0,155026601,5914783,normal,normal
48,2023-04-12 17:53:00+00:00,pi1testbed,wlan0,14945650501,1871726444,0,0,0,0,155026874,5914791,normal,normal
49,2023-04-12 17:53:10+00:00,pi1testbed,wlan0,14945678016,1871729926,0,0,0,0,155027156,5914803,normal,normal
50,2023-04-12 17:53:20+00:00,pi1testbed,wlan0,14945702399,1871733640,0,0,0,0,155027425,5914817,normal,normal
51,2023-04-12 17:53:30+00:00,pi1testbed,wlan0,14945728706,1871737237,0,0,0,0,155027675,5914830,normal,normal
52,2023-04-12 17:53:40+00:00,pi1testbed,wlan0,14945756879,1871740675,0,0,0,0,155027956,5914841,normal,normal
53,2023-04-12 17:53:50+00:00,pi1testbed,wlan0,14945782288,1871743975,0,0,0,0,155028239,5914851,normal,normal
54,2023-04-12 17:54:00+00:00,pi1testbed,wlan0,14945808503,1871747681,0,0,0,0,155028519,5914865,normal,normal
55,2023-04-12 17:54:10+00:00,pi1testbed,wlan0,14945837417,1871751371,0,0,0,0,155028813,5914879,normal,normal
56,2023-04-12 17:54:20+00:00,pi1testbed,wlan0,14945869600,1871754571,0,0,0,0,155029111,5914887,normal,normal
57,2023-04-12 17:54:30+00:00,pi1testbed,wlan0,14945895230,1871758252,0,0,0,0,155029370,5914901,normal,normal
58,2023-04-12 17:54:40+00:00,pi1testbed,wlan0,14945920383,1871761752,0,0,0,0,155029637,5914913,normal,normal
59,2023-04-12 17:54:50+00:00,pi1testbed,wlan0,14945953893,1871764877,0,0,0,0,155029940,5914921,normal,normal
60,2023-04-12 17:55:00+00:00,pi1testbed,wlan0,14945989035,1871768036,0,0,0,0,155030284,5914929,normal,normal
61,2023-04-12 17:55:10+00:00,pi1testbed,wlan0,14946025217,1871771212,0,0,0,0,155030664,5914937,normal,normal
62,2023-04-12 17:55:20+00:00,pi1testbed,wlan0,14946053818,1871774720,0,0,0,0,155030968,5914949,normal,normal
63,2023-04-12 17:55:30+00:00,pi1testbed,wlan0,14946079016,1871777859,0,0,0,0,155031227,5914957,normal,normal
64,2023-04-12 17:55:40+00:00,pi1testbed,wlan0,14946106073,1871781532,0,0,0,0,155031530,5914971,normal,normal
65,2023-04-12 17:55:50+00:00,pi1testbed,wlan0,14946132900,1871785053,0,0,0,0,155031817,5914983,normal,normal
66,2023-04-12 17:56:00+00:00,pi1testbed,wlan0,14946160206,1871788482,0,0,0,0,155032104,5914994,normal,normal
67,2023-04-12 17:56:10+00:00,pi1testbed,wlan0,14946194977,1871791624,0,0,0,0,155032405,5915002,normal,normal
