,_time,host,interface,bytes_recv,bytes_sent,drop_in,drop_out,err_in,err_out,packets_recv,packets_sent,class_1,class_2
0,2023-04-12 17:45:00+00:00,pi3testbed,wlan0,14892942512,1841929849,0,0,0,0,154484065,5552042,normal,normal
1,2023-04-12 17:45:10+00:00,pi3testbed,wlan0,14892968126,1841932923,0,0,0,0,154484349,5552049,normal,normal
2,2023-04-12 17:45:20+00:00,pi3testbed,wlan0,14892994997,1841936478,0,0,0,0,154484624,5552061,normal,normal
3,2023-04-12 17:45:30+00:00,pi3testbed,wlan0,14893016506,1841939901,0,0,0,0,154484868,5552072,normal,normal
4,2023-04-12 17:45:40+00:00,pi3testbed,wlan0,14893047220,1841942958,0,0,0,0,154485187,5552079,normal,normal
5,2023-04-12 17:45:50+00:00,pi3testbed,wlan0,14893080261,1841946289,0,0,0,0,154485513,5552089,normal,normal
6,2023-04-12 17:46:00+00:00,pi3testbed,wlan0,14893103943,1841949486,0,0,0,0,154485784,5552097,normal,normal
7,2023-04-12 17:46:10+00:00,pi3testbed,wlan0,14893133884,1841952550,0,0,0,0,154486068,5552104,normal,normal
8,2023-04-12 17:46:20+00:00,pi3testbed,wlan0,14893163788,1841956260,0,0,0,0,154486358,5552118,normal,normal
9,2023-04-12 17:46:30+00:00,pi3testbed,wlan0,14893181133,1841959318,0,0,0,0,154486573,5552125,normal,normal
10,2023-04-12 17:46:40+00:00,pi3testbed,wlan0,14893208382,1841962390,0,0,0,0,154486842,5552132,normal,normal
11,2023-04-12 17:46:50+00:00,pi3testbed,wlan0,14893237694,1841965434,0,0,0,0,154487138,5552139,normal,normal
12,2023-04-12 17:47:00+00:00,pi3testbed,wlan0,14893260600,1841968959,0,0,0,0,154487420,5552151,normal,normal
13,2023-04-12 17:47:10+00:00,pi3testbed,wlan0,14893298285,1841972018,0,0,0,0,154487753,5552158,normal,normal
14,2023-04-12 17:47:20+00:00,pi3testbed,wlan0,14893321781,1841975424,0,0,0,0,154488016,5552169,normal,normal
15,2023-04-12 17:47:30+00:00,pi3testbed,wlan0,14893340642,1841978764,0,0,0,0,154488240,5552179,normal,normal
16,2023-04-12 17:47:40+00:00,pi3testbed,wlan0,14893369200,1841982004,0,0,0,0,154488524,5552188,normal,normal
17,2023-04-12 17:47:50+00:00,pi3testbed,wlan0,14893393239,1841985675,0,0,0,0,154488803,5552202,normal,normal
18,2023-04-12 17:48:00+00:00,pi3testbed,wlan0,14893418071,1841989346,0,0,0,0,154489089,5552216,normal,normal
19,2023-04-12 17:48:10+00:00,pi3testbed,wlan0,14893450598,1841993056,0,0,0,0,154489397,5552230,normal,normal
20,2023-04-12 17:48:20+00:00,pi3testbed,wlan0,14893474394,1841996732,0,0,0,0,154489665,5552244,normal,normal
21,2023-04-12 17:48:30+00:00,pi3testbed,wlan0,14893490652,1842000299,0,0,0,0,154489877,5552253,normal,normal
22,2023-04-12 17:48:40+00:00,pi3testbed,wlan0,14893518284,1842003474,0,0,0,0,154490156,5552261,normal,normal
23,2023-04-12 17:48:50+00:00,pi3testbed,wlan0,14893543163,1842006618,0,0,0,0,154490425,5552269,normal,normal
24,2023-04-12 17:49:00+00:00,pi3testbed,wlan0,14893565727,1842009874,0,0,0,0,154490716,5552278,normal,normal
25,2023-04-12 17:49:10+00:00,pi3testbed,wlan0,14893603675,1842013203,0,0,0,0,154491105,5552288,normal,normal
26,2023-04-12 17:49:20+00:00,pi3testbed,wlan0,14893630582,1842016658,0,0,0,0,154491404,5552299,normal,normal
