,_time,cpu,host,usage_guest,usage_guest_nice,usage_idle,usage_iowait,usage_irq,usage_nice,usage_softirq,usage_steal,usage_system,usage_user,class_1,class_2
28,2023-04-12 17:49:40+00:00,cpu-total,pi4testbed,0.0,0.0,99.42312515565332,0.0,0.0,0.0,0.0501630298467853,0.0,0.4263857536839885,0.1003260596935706,normal,normal
29,2023-04-12 17:49:50+00:00,cpu-total,pi4testbed,0.0,0.0,99.47315604391066,0.0,0.0,0.0,0.050175614653125,0.0,0.3763171099121278,0.10035122930625,normal,normal
30,2023-04-12 17:50:00+00:00,cpu-total,pi4testbed,0.0,0.0,99.5488721811812,0.0,0.0,0.0,0.025062656643087,0.0,0.3759398496235117,0.0501253132770564,normal,normal
31,2023-04-12 17:50:10+00:00,cpu-total,pi4testbed,0.0,0.0,99.1727249982278,0.0,0.0,0.0,0.1002757583315528,0.0,0.5013787916623244,0.2256204562425739,normal,normal
32,2023-04-12 17:50:20+00:00,cpu-total,pi4testbed,0.0,0.0,99.39909864276888,0.0,0.0,0.0,0.1001502253368302,0.0,0.4006009013473209,0.1001502253368302,normal,normal
33,2023-04-12 17:50:30+00:00,cpu-total,pi4testbed,0.0,0.0,98.31869511141674,0.0,0.0,0.0,0.0,0.0,0.3011292346350668,1.3801756588049177,normal,normal
34,2023-04-12 17:50:40+00:00,cpu-total,pi4testbed,0.0,0.0,99.42341438845926,0.0,0.0,0.0,0.0501378791680564,0.0,0.4261719729512798,0.1002757583361128,normal,normal
35,2023-04-12 17:50:50+00:00,cpu-total,pi4testbed,0.0,0.0,99.47342025852667,0.0,0.0,0.0,0.0501504513519074,0.0,0.3761283851507085,0.1003009027129371,normal,normal
36,2023-04-12 17:51:00+00:00,cpu-total,pi4testbed,0.0,0.0,99.423558896155,0.0,0.0,0.0,0.0501253132814941,0.0,0.2506265664165885,0.275689223043659,normal,normal
37,2023-04-12 17:51:10+00:00,cpu-total,pi4testbed,0.0,0.0,99.54864593854892,0.0,0.0,0.0,0.0501504513564685,0.0,0.3259779337851176,0.0752256770301417,normal,normal
38,2023-04-12 17:51:20+00:00,cpu-total,pi4testbed,0.0,0.0,99.44806824181838,0.0,0.0,0.0,0.050175614653125,0.0,0.401404917225,0.10035122930625,normal,normal
39,2023-04-12 17:51:30+00:00,cpu-total,pi4testbed,0.0,0.0,98.17088448898946,0.0,0.0,0.0,0.0501127536921646,0.0,0.3257328990332529,1.4532698571593703,normal,normal
40,2023-04-12 17:51:40+00:00,cpu-total,pi4testbed,0.0,0.0,99.52380952047504,0.0,0.0,0.0,0.025062656640747,0.0,0.3508771929613413,0.1002506265629883,normal,normal
41,2023-04-12 17:51:50+00:00,cpu-total,pi4testbed,0.0,0.0,99.29771758844836,0.0,0.0,0.0,0.0250815149257361,0.0,0.4263857537238282,0.2508151492482373,normal,normal
42,2023-04-12 17:52:00+00:00,cpu-total,pi4testbed,0.0,0.0,99.52321204182184,0.0,0.0,0.0,0.0250941028854312,0.0,0.3262233375151706,0.1254705144317207,normal,normal
43,2023-04-12 17:52:10+00:00,cpu-total,pi4testbed,0.0,0.0,99.5235707088056,0.0,0.0,0.0,0.0250752256758919,0.0,0.2758274824302503,0.1755265797266824,normal,normal
44,2023-04-12 17:52:20+00:00,cpu-total,pi4testbed,0.0,0.0,99.42225571350218,0.0,0.0,0.0,0.0502386335119575,0.0,0.3767897513168359,0.1507159005267343,normal,normal
45,2023-04-12 17:52:30+00:00,cpu-total,pi4testbed,0.0,0.0,98.07114228559536,0.0,0.0,0.0,0.0751503006019329,0.0,0.3256513026326778,1.5280561123000571,normal,normal
46,2023-04-12 17:52:40+00:00,cpu-total,pi4testbed,0.0,0.0,99.57350728031764,0.0,0.0,0.0,0.0250878073265625,0.0,0.3261414952133684,0.0752634219933778,normal,normal
47,2023-04-12 17:52:50+00:00,cpu-total,pi4testbed,0.0,0.0,99.37311935805782,0.0,0.0,0.0,0.1003009027129371,0.0,0.3761283851871977,0.1504513540602834,normal,normal
48,2023-04-12 17:53:00+00:00,cpu-total,pi4testbed,0.0,0.0,99.47342025857586,0.0,0.0,0.0,0.0752256770231146,0.0,0.3510531594533649,0.1003009027035677,normal,normal
49,2023-04-12 17:53:10+00:00,cpu-total,pi4testbed,0.0,0.0,99.42283563252587,0.0,0.0,0.0,0.0752823086562937,0.0,0.401505646130383,0.1003764115417249,normal,normal
50,2023-04-12 17:53:20+00:00,cpu-total,pi4testbed,0.0,0.0,99.37327651035444,0.0,0.0,0.0,0.0501378791727387,0.0,0.4261719729910795,0.1504136375090962,normal,normal
51,2023-04-12 17:53:30+00:00,cpu-total,pi4testbed,0.0,0.0,99.323308271835,0.0,0.0,0.0,0.0751879699176823,0.0,0.4010025062154823,0.2005012531259766,normal,normal
52,2023-04-12 17:53:40+00:00,cpu-total,pi4testbed,0.0,0.0,99.54875908820232,0.0,0.0,0.0,0.0250689395863693,0.0,0.325896214627362,0.1002757583454775,normal,normal
53,2023-04-12 17:53:50+00:00,cpu-total,pi4testbed,0.0,0.0,99.4731560439599,0.0,0.0,0.0,0.0501756146484356,0.0,0.3763171098404499,0.1003512292786174,normal,normal
54,2023-04-12 17:54:00+00:00,cpu-total,pi4testbed,0.0,0.0,99.44889779855065,0.0,0.0,0.0,0.1002004008086526,0.0,0.3256513026326778,0.1252505010153724,normal,normal
55,2023-04-12 17:54:10+00:00,cpu-total,pi4testbed,0.0,0.0,99.3219487705903,0.0,0.0,0.0,0.0502260170729982,0.0,0.3766951280954508,0.2511300853786951,normal,normal
56,2023-04-12 17:54:20+00:00,cpu-total,pi4testbed,0.0,0.0,99.3989481540497,0.0,0.0,0.0,0.0500876533949056,0.0,0.4257450538430318,0.1252191334918196,normal,normal
57,2023-04-12 17:54:30+00:00,cpu-total,pi4testbed,0.0,0.0,98.24605362251984,0.0,0.0,0.0,0.0501127536967223,0.0,0.4259584064084666,1.277875219243631,normal,normal
58,2023-04-12 17:54:40+00:00,cpu-total,pi4testbed,0.0,0.0,99.44931164252311,0.0,0.0,0.0,0.0500625782248048,0.0,0.3254067584293596,0.1752190237822639,normal,normal
59,2023-04-12 17:54:50+00:00,cpu-total,pi4testbed,0.0,0.0,99.52345121310223,0.0,0.0,0.0,0.050163029842223,0.0,0.2758966641527571,0.1504890895312314,normal,normal
60,2023-04-12 17:55:00+00:00,cpu-total,pi4testbed,0.0,0.0,99.39894816337926,0.0,0.0,0.0,0.1001753067898113,0.0,0.3506135737552287,0.1502629601756061,normal,normal
61,2023-04-12 17:55:10+00:00,cpu-total,pi4testbed,0.0,0.0,99.29771757917038,0.0,0.0,0.0,0.0250815149233926,0.0,0.3511412089183728,0.326059694008667,normal,normal
62,2023-04-12 17:55:20+00:00,cpu-total,pi4testbed,0.0,0.0,99.44751381510083,0.0,0.0,0.0,0.050226017082265,0.0,0.3766951281306918,0.1255650426919585,normal,normal
63,2023-04-12 17:55:30+00:00,cpu-total,pi4testbed,0.0,0.0,98.5971943829989,0.0,0.0,0.0,0.0250501001929312,0.0,0.4008016031598059,0.9769539076792442,normal,normal
64,2023-04-12 17:55:40+00:00,cpu-total,pi4testbed,0.0,0.0,99.52297263961307,0.0,0.0,0.0,0.0502134069877103,0.0,0.3514938489048388,0.0753201104769986,normal,normal
65,2023-04-12 17:55:50+00:00,cpu-total,pi4testbed,0.0,0.0,99.54887218122332,0.0,0.0,0.0,0.0501253132814941,0.0,0.3007518796707294,0.1002506265629883,normal,normal
66,2023-04-12 17:56:00+00:00,cpu-total,pi4testbed,0.0,0.0,99.39819457856063,0.0,0.0,0.0,0.0250752256758919,0.0,0.3259779337911564,0.2507522567680418,normal,normal
