,_time,host,load1,load15,load5,n_cpus,n_unique_users,n_users,uptime,uptime_format,class_1,class_2
0,2023-04-12 17:45:00+00:00,pi1testbed,0.0,0.0,0.0,4,0,0,5252779,"60 days, 19:06",normal,normal
1,2023-04-12 17:45:10+00:00,pi1testbed,0.0,0.0,0.0,4,0,0,5252789,"60 days, 19:06",normal,normal
2,2023-04-12 17:45:20+00:00,pi1testbed,0.0,0.0,0.0,4,0,0,5252799,"60 days, 19:06",normal,normal
3,2023-04-12 17:45:30+00:00,pi1testbed,0.15,0.01,0.03,4,0,0,5252809,"60 days, 19:06",normal,normal
4,2023-04-12 17:45:40+00:00,pi1testbed,0.2,0.02,0.05,4,0,0,5252819,"60 days, 19:06",normal,normal
5,2023-04-12 17:45:50+00:00,pi1testbed,0.24,0.02,0.06,4,0,0,5252829,"60 days, 19:07",normal,normal
6,2023-04-12 17:46:00+00:00,pi1testbed,0.28,0.02,0.08,4,0,0,5252839,"60 days, 19:07",normal,normal
7,2023-04-12 17:46:10+00:00,pi1testbed,0.31,0.03,0.09,4,0,0,5252849,"60 days, 19:07",normal,normal
8,2023-04-12 17:46:20+00:00,pi1testbed,0.33,0.03,0.1,4,0,0,5252859,"60 days, 19:07",normal,normal
9,2023-04-12 17:46:30+00:00,pi1testbed,0.36,0.04,0.12,4,0,0,5252869,"60 days, 19:07",normal,normal
10,2023-04-12 17:46:40+00:00,pi1testbed,0.3,0.04,0.11,4,0,0,5252879,"60 days, 19:07",normal,normal
11,2023-04-12 17:46:50+00:00,pi1testbed,0.25,0.04,0.11,4,0,0,5252889,"60 days, 19:08",normal,normal
12,2023-04-12 17:47:00+00:00,pi1testbed,0.22,0.04,0.1,4,0,0,5252899,"60 days, 19:08",normal,normal
13,2023-04-12 17:47:10+00:00,pi1testbed,0.18,0.04,0.1,4,0,0,5252909,"60 days, 19:08",normal,normal
14,2023-04-12 17:47:20+00:00,pi1testbed,0.15,0.03,0.1,4,0,0,5252919,"60 days, 19:08",normal,normal
15,2023-04-12 17:47:30+00:00,pi1testbed,0.13,0.03,0.09,4,0,0,5252929,"60 days, 19:08",normal,normal
16,2023-04-12 17:47:40+00:00,pi1testbed,0.11,0.03,0.09,4,0,0,5252939,"60 days, 19:08",normal,normal
17,2023-04-12 17:47:50+00:00,pi1testbed,0.09,0.03,0.08,4,0,0,5252949,"60 days, 19:09",normal,normal
18,2023-04-12 17:48:00+00:00,pi1testbed,0.08,0.03,0.08,4,0,0,5252959,"60 days, 19:09",normal,normal
19,2023-04-12 17:48:10+00:00,pi1testbed,0.06,0.03,0.08,4,0,0,5252969,"60 days, 19:09",normal,normal
20,2023-04-12 17:48:20+00:00,pi1testbed,0.05,0.03,0.08,4,0,0,5252979,"60 days, 19:09",normal,normal
21,2023-04-12 17:48:30+00:00,pi1testbed,0.05,0.03,0.07,4,0,0,5252989,"60 days, 19:09",normal,normal
22,2023-04-12 17:48:40+00:00,pi1testbed,0.04,0.03,0.07,4,0,0,5252999,"60 days, 19:09",normal,normal
23,2023-04-12 17:48:50+00:00,pi1testbed,0.03,0.03,0.07,4,0,0,5253009,"60 days, 19:10",normal,normal
24,2023-04-12 17:49:00+00:00,pi1testbed,0.03,0.02,0.06,4,0,0,5253019,"60 days, 19:10",normal,normal
25,2023-04-12 17:49:10+00:00,pi1testbed,0.02,0.02,0.06,4,0,0,5253029,"60 days, 19:10",normal,normal
26,2023-04-12 17:49:20+00:00,pi1testbed,0.02,0.02,0.06,4,0,0,5253039,"60 days, 19:10",normal,normal
27,2023-04-12 17:49:30+00:00,pi1testbed,0.02,0.02,0.06,4,0,0,5253049,"60 days, 19:10",normal,normal
28,2023-04-12 17:49:40+00:00,pi1testbed,0.01,0.02,0.05,4,0,0,5253059,"60 days, 19:10",normal,normal
29,2023-04-12 17:49:50+00:00,pi1testbed,0.01,0.02,0.05,4,0,0,5253069,"60 days, 19:11",normal,normal
30,2023-04-12 17:50:00+00:00,pi1testbed,0.01,0.02,0.05,4,0,0,5253079,"60 days, 19:11",normal,normal
31,2023-04-12 17:50:10+00:00,pi1testbed,0.01,0.02,0.05,4,0,0,5253089,"60 days, 19:11",normal,normal
32,2023-04-12 17:50:20+00:00,pi1testbed,0.0,0.02,0.05,4,0,0,5253099,"60 days, 19:11",normal,normal
33,2023-04-12 17:50:30+00:00,pi1testbed,0.0,0.02,0.04,4,0,0,5253109,"60 days, 19:11",normal,normal
