,_time,host,load1,load15,load5,n_cpus,n_unique_users,n_users,uptime,uptime_format,class_1,class_2
0,2023-04-12 17:45:00+00:00,pi3testbed,0.02,0.0,0.01,4,0,0,5277201,"61 days,  1:53",normal,normal
1,2023-04-12 17:45:10+00:00,pi3testbed,0.01,0.0,0.01,4,0,0,5277211,"61 days,  1:53",normal,normal
2,2023-04-12 17:45:20+00:00,pi3testbed,0.01,0.0,0.01,4,0,0,5277221,"61 days,  1:53",normal,normal
3,2023-04-12 17:45:30+00:00,pi3testbed,0.01,0.0,0.01,4,0,0,5277231,"61 days,  1:53",normal,normal
4,2023-04-12 17:45:40+00:00,pi3testbed,0.01,0.0,0.01,4,0,0,5277241,"61 days,  1:54",normal,normal
5,2023-04-12 17:45:50+00:00,pi3testbed,0.0,0.0,0.01,4,0,0,5277251,"61 days,  1:54",normal,normal
6,2023-04-12 17:46:00+00:00,pi3testbed,0.0,0.0,0.01,4,0,0,5277261,"61 days,  1:54",normal,normal
7,2023-04-12 17:46:10+00:00,pi3testbed,0.0,0.0,0.01,4,0,0,5277271,"61 days,  1:54",normal,normal
8,2023-04-12 17:46:20+00:00,pi3testbed,0.0,0.0,0.01,4,0,0,5277281,"61 days,  1:54",normal,normal
9,2023-04-12 17:46:30+00:00,pi3testbed,0.0,0.0,0.0,4,0,0,5277291,"61 days,  1:54",normal,normal
10,2023-04-12 17:46:40+00:00,pi3testbed,0.0,0.0,0.0,4,0,0,5277301,"61 days,  1:55",normal,normal
11,2023-04-12 17:46:50+00:00,pi3testbed,0.0,0.0,0.0,4,0,0,5277311,"61 days,  1:55",normal,normal
12,2023-04-12 17:47:00+00:00,pi3testbed,0.0,0.0,0.0,4,0,0,5277321,"61 days,  1:55",normal,normal
13,2023-04-12 17:47:10+00:00,pi3testbed,0.0,0.0,0.0,4,0,0,5277331,"61 days,  1:55",normal,normal
14,2023-04-12 17:47:20+00:00,pi3testbed,0.0,0.0,0.0,4,0,0,5277341,"61 days,  1:55",normal,normal
15,2023-04-12 17:47:30+00:00,pi3testbed,0.0,0.0,0.0,4,0,0,5277351,"61 days,  1:55",normal,normal
16,2023-04-12 17:47:40+00:00,pi3testbed,0.0,0.0,0.0,4,0,0,5277361,"61 days,  1:56",normal,normal
17,2023-04-12 17:47:50+00:00,pi3testbed,0.0,0.0,0.0,4,0,0,5277371,"61 days,  1:56",normal,normal
18,2023-04-12 17:48:00+00:00,pi3testbed,0.0,0.0,0.0,4,0,0,5277381,"61 days,  1:56",normal,normal
