,_time,host,load1,load15,load5,n_cpus,n_unique_users,n_users,uptime,uptime_format,class_1,class_2
0,2023-04-12 17:45:00+00:00,pi4testbed,0.05,0.01,0.06,4,0,0,5339001,"61 days, 19:03",normal,normal
1,2023-04-12 17:45:10+00:00,pi4testbed,0.04,0.01,0.05,4,0,0,5339011,"61 days, 19:03",normal,normal
2,2023-04-12 17:45:20+00:00,pi4testbed,0.04,0.0,0.05,4,0,0,5339021,"61 days, 19:03",normal,normal
3,2023-04-12 17:45:30+00:00,pi4testbed,0.1,0.01,0.07,4,0,0,5339031,"61 days, 19:03",normal,normal
4,2023-04-12 17:45:40+00:00,pi4testbed,0.09,0.01,0.06,4,0,0,5339041,"61 days, 19:04",normal,normal
5,2023-04-12 17:45:50+00:00,pi4testbed,0.07,0.01,0.06,4,0,0,5339051,"61 days, 19:04",normal,normal
6,2023-04-12 17:46:00+00:00,pi4testbed,0.06,0.01,0.06,4,0,0,5339061,"61 days, 19:04",normal,normal
7,2023-04-12 17:46:10+00:00,pi4testbed,0.05,0.01,0.06,4,0,0,5339071,"61 days, 19:04",normal,normal
8,2023-04-12 17:46:20+00:00,pi4testbed,0.04,0.0,0.05,4,0,0,5339081,"61 days, 19:04",normal,normal
9,2023-04-12 17:46:30+00:00,pi4testbed,0.11,0.01,0.07,4,0,0,5339091,"61 days, 19:04",normal,normal
10,2023-04-12 17:46:40+00:00,pi4testbed,0.09,0.01,0.07,4,0,0,5339101,"61 days, 19:05",normal,normal
11,2023-04-12 17:46:50+00:00,pi4testbed,0.08,0.01,0.06,4,0,0,5339111,"61 days, 19:05",normal,normal
12,2023-04-12 17:47:00+00:00,pi4testbed,0.07,0.01,0.06,4,0,0,5339121,"61 days, 19:05",normal,normal
13,2023-04-12 17:47:10+00:00,pi4testbed,0.06,0.01,0.06,4,0,0,5339131,"61 days, 19:05",normal,normal
14,2023-04-12 17:47:20+00:00,pi4testbed,0.05,0.0,0.06,4,0,0,5339141,"61 days, 19:05",normal,normal
15,2023-04-12 17:47:30+00:00,pi4testbed,0.04,0.0,0.05,4,0,0,5339151,"61 days, 19:05",normal,normal
16,2023-04-12 17:47:40+00:00,pi4testbed,0.03,0.0,0.05,4,0,0,5339161,"61 days, 19:06",normal,normal
17,2023-04-12 17:47:50+00:00,pi4testbed,0.1,0.01,0.07,4,0,0,5339171,"61 days, 19:06",normal,normal
18,2023-04-12 17:48:00+00:00,pi4testbed,0.08,0.01,0.06,4,0,0,5339181,"61 days, 19:06",normal,normal
19,2023-04-12 17:48:10+00:00,pi4testbed,0.07,0.01,0.06,4,0,0,5339191,"61 days, 19:06",normal,normal
20,2023-04-12 17:48:20+00:00,pi4testbed,0.06,0.0,0.06,4,0,0,5339201,"61 days, 19:06",normal,normal
21,2023-04-12 17:48:30+00:00,pi4testbed,0.12,0.01,0.07,4,0,0,5339211,"61 days, 19:06",normal,normal
22,2023-04-12 17:48:40+00:00,pi4testbed,0.1,0.01,0.07,4,0,0,5339221,"61 days, 19:07",normal,normal
23,2023-04-12 17:48:50+00:00,pi4testbed,0.09,0.01,0.07,4,0,0,5339231,"61 days, 19:07",normal,normal
24,2023-04-12 17:49:00+00:00,pi4testbed,0.07,0.01,0.06,4,0,0,5339241,"61 days, 19:07",normal,normal
25,2023-04-12 17:49:10+00:00,pi4testbed,0.06,0.01,0.06,4,0,0,5339251,"61 days, 19:07",normal,normal
26,2023-04-12 17:49:20+00:00,pi4testbed,0.05,0.0,0.06,4,0,0,5339261,"61 days, 19:07",normal,normal
27,2023-04-12 17:49:30+00:00,pi4testbed,0.12,0.01,0.07,4,0,0,5339271,"61 days, 19:07",normal,normal
28,2023-04-12 17:49:40+00:00,pi4testbed,0.1,0.01,0.07,4,0,0,5339281,"61 days, 19:08",normal,normal
29,2023-04-12 17:49:50+00:00,pi4testbed,0.08,0.01,0.07,4,0,0,5339291,"61 days, 19:08",normal,normal
30,2023-04-12 17:50:00+00:00,pi4testbed,0.07,0.01,0.06,4,0,0,5339301,"61 days, 19:08",normal,normal
31,2023-04-12 17:50:10+00:00,pi4testbed,0.06,0.01,0.06,4,0,0,5339311,"61 days, 19:08",normal,normal
32,2023-04-12 17:50:20+00:00,pi4testbed,0.05,0.0,0.06,4,0,0,5339321,"61 days, 19:08",normal,normal
33,2023-04-12 17:50:30+00:00,pi4testbed,0.04,0.0,0.06,4,0,0,5339331,"61 days, 19:08",normal,normal
34,2023-04-12 17:50:40+00:00,pi4testbed,0.03,0.0,0.05,4,0,0,5339341,"61 days, 19:09",normal,normal
35,2023-04-12 17:50:50+00:00,pi4testbed,0.03,0.0,0.05,4,0,0,5339351,"61 days, 19:09",normal,normal
36,2023-04-12 17:51:00+00:00,pi4testbed,0.02,0.0,0.05,4,0,0,5339361,"61 days, 19:09",normal,normal
37,2023-04-12 17:51:10+00:00,pi4testbed,0.02,0.0,0.05,4,0,0,5339371,"61 days, 19:09",normal,normal
38,2023-04-12 17:51:20+00:00,pi4testbed,0.02,0.0,0.05,4,0,0,5339381,"61 days, 19:09",normal,normal
39,2023-04-12 17:51:30+00:00,pi4testbed,0.01,0.0,0.04,4,0,0,5339391,"61 days, 19:09",normal,normal
40,2023-04-12 17:51:40+00:00,pi4testbed,0.01,0.0,0.04,4,0,0,5339401,"61 days, 19:10",normal,normal
41,2023-04-12 17:51:50+00:00,pi4testbed,0.01,0.0,0.04,4,0,0,5339411,"61 days, 19:10",normal,normal
42,2023-04-12 17:52:00+00:00,pi4testbed,0.01,0.0,0.04,4,0,0,5339421,"61 days, 19:10",normal,normal
43,2023-04-12 17:52:10+00:00,pi4testbed,0.01,0.0,0.04,4,0,0,5339431,"61 days, 19:10",normal,normal
44,2023-04-12 17:52:20+00:00,pi4testbed,0.0,0.0,0.03,4,0,0,5339441,"61 days, 19:10",normal,normal
45,2023-04-12 17:52:30+00:00,pi4testbed,0.0,0.0,0.03,4,0,0,5339451,"61 days, 19:10",normal,normal
46,2023-04-12 17:52:40+00:00,pi4testbed,0.0,0.0,0.03,4,0,0,5339461,"61 days, 19:11",normal,normal
47,2023-04-12 17:52:50+00:00,pi4testbed,0.0,0.0,0.03,4,0,0,5339471,"61 days, 19:11",normal,normal
48,2023-04-12 17:53:00+00:00,pi4testbed,0.0,0.0,0.03,4,0,0,5339481,"61 days, 19:11",normal,normal
49,2023-04-12 17:53:10+00:00,pi4testbed,0.0,0.0,0.03,4,0,0,5339491,"61 days, 19:11",normal,normal
50,2023-04-12 17:53:20+00:00,pi4testbed,0.0,0.0,0.03,4,0,0,5339501,"61 days, 19:11",normal,normal
51,2023-04-12 17:53:30+00:00,pi4testbed,0.0,0.0,0.02,4,0,0,5339511,"61 days, 19:11",normal,normal
52,2023-04-12 17:53:40+00:00,pi4testbed,0.0,0.0,0.02,4,0,0,5339521,"61 days, 19:12",normal,normal
53,2023-04-12 17:53:50+00:00,pi4testbed,0.0,0.0,0.02,4,0,0,5339531,"61 days, 19:12",normal,normal
54,2023-04-12 17:54:00+00:00,pi4testbed,0.0,0.0,0.02,4,0,0,5339541,"61 days, 19:12",normal,normal
55,2023-04-12 17:54:10+00:00,pi4testbed,0.0,0.0,0.02,4,0,0,5339551,"61 days, 19:12",normal,normal
56,2023-04-12 17:54:20+00:00,pi4testbed,0.07,0.0,0.04,4,0,0,5339561,"61 days, 19:12",normal,normal
57,2023-04-12 17:54:30+00:00,pi4testbed,0.06,0.0,0.03,4,0,0,5339571,"61 days, 19:12",normal,normal
58,2023-04-12 17:54:40+00:00,pi4testbed,0.05,0.0,0.03,4,0,0,5339581,"61 days, 19:13",normal,normal
59,2023-04-12 17:54:50+00:00,pi4testbed,0.04,0.0,0.03,4,0,0,5339591,"61 days, 19:13",normal,normal
60,2023-04-12 17:55:00+00:00,pi4testbed,0.04,0.0,0.03,4,0,0,5339601,"61 days, 19:13",normal,normal
